S|A Harlem - JV Basketball External Competition Master Schedule (SY23-24),,,,,,,,,,,,
League,School/Network,Age,Date,Day,Time,Venue,Home Team,Visiting Team,Result,Record,Needs Bus,Permit
CPSAL ,HSLA - Manhattan,JV - Girls,10/04/2023,Wednesday,4:30 PM,Uncommon Charter,HSLA-Manhattan,Uncommon Prep,Loss (37-6),0 - 1,No,No
CPSAL ,HSLA - Harlem,JV - Girls,10/05/23,Thursday,5:00 PM,Inwood,HSLA-Harlem,Inwood,L (22-18),0 - 1,No,
CPSAL ,HSLA - Harlem,JV - Boys,10/05/23,Thursday,6:00 PM,Inwood,HSLA-Harlem,Inwood,W (64-32),1 - 0,No,
CPSAL ,HSLA - Harlem,JV - Girls,10/06/23,Friday,5:00 PM,HSLA-Harlem,Democracy Prep,HSLA-Harlem,Loss (23-11),0 - 2,No,
CPSAL ,HSLA - Harlem,JV - Boys,10/06/23,Friday,6:00 PM,HSLA-Harlem,HSLA-Harlem,Democracy Prep,Win (52-21),2 - 0,No,
CPSAL,HSLA - Manhattan,JV - Boys,10/06/23,Friday,6:00 PM,Inwood Academy,Inwood Academy,HSLA-Manhattan,Loss (36-28),0 - 1,No,
CPSAL ,HSLA - Manhattan,JV - Girls,10/06/2023,Friday,5:00 PM,Inwood Academy,Inwood,HSLA-Manhattan,Win (27-9),1 - 1,No,
CPSAL ,HSLA - Harlem,JV - Boys,10/07/23,Saturday,4:00 PM,HSLA-Harlem,HSLA-Harlem,AECI,Win (68-34),3 - 0,No,
CPSAL,HSLA - Manhattan,JV - Boys,10/07/23,Saturday,2:00 PM,HSLA-Manhattan,HSLA-Manhattan,AECI 2,Win (49-11),1 - 1,No,
CPSAL,HSLA - Manhattan,JV - Boys,10/9/2023,Monday,6:00 PM,Inwood Academy,HSLA-Manhattan,Inwood,Win (36-17),2 - 1,No,
CPSAL ,HSLA - Harlem,JV - Boys,10/10/23,Tuesday ,5:00 PM,Inwood,Inwood,HSLA-Harlem,Win (57-29),4 - 0,No,
CPSAL,HSLA - Manhattan,JV - Boys,10/11/2023,Wednesday,7:00 PM,Dream Charter HS,HSLA-Manhattan,DREAM,Loss (38-30),2 - 2,No,
CPSAL ,HSLA - Harlem,JV - Boys,10/14/23,Saturday,4:00 PM,HSLA-Harlem,HSLA-Harlem,East Harlem Scholars,Win (70-41),5 - 0,No,
CPSAL,HSLA - Manhattan,JV - Boys,10/14/23,Saturday,2:00 PM,HSLA-Manhattan,HSLA-Manhattan,OSL,Loss (56-28),2 - 3,No,
CPSAL ,HSLA - Manhattan,JV - Girls,10/14/2023,Saturday,1:00 PM,HSLA-Manhattan,HSLA-Manhattan,Williamsburg,Win (26-16),2 - 1,No,
CPSAL ,HSLA - Harlem,JV - Girls,10/16/23,Monday,6:00 PM,Dream Charter HS,HSLA-Harlem,DREAM,Loss (14-15),0 - 3,No,
CPSAL ,HSLA - Harlem,JV - Boys,10/16/23,Monday,7:00 PM,Dream Charter HS,HSLA-Harlem,DREAM,Win (36-32),6 - 0,No,
CPSAL,HSLA - Manhattan,JV - Boys,10/17/2023,Tuesday,5:30 PM,Bronx Prep,HSLA-Manhattan,Bronx Prep,Loss (36-28),2 - 4,No,
CPSAL ,HSLA - Harlem,JV - Girls,10/19/23,Thursday,5:30 PM,Uncommon Charter,Uncommon Prep,HSLA-Harlem,Loss (42-7),0 - 4,No,
CPSAL ,HSLA - Harlem,JV - Girls,10/20/23,Friday,5:00 PM,HSLA-Harlem,HSLA-Manhattan,HSLA-Harlem,Loss (13-12),0 - 5,No,
CPSAL ,HSLA - Harlem,JV - Boys,10/20/23,Friday,6:00 PM,HSLA-Harlem,HSLA-Manhattan,HSLA-Harlem,Win (36-27),7 - 0,No,
CPSAL,HSLA - Manhattan,JV - Boys,10/20/2023,Friday,6:00 PM,HSLA-Harlem,HSLA-Manhattan,HSLA-Harlem,Loss (36-27),2 - 5,No,
CPSAL ,HSLA - Manhattan,JV - Girls,10/20/2023,Friday,5:00 PM,HSLA-Harlem,HSLA-Manhattan,HSLA-Harlem,Win (13-12),3 - 1,No,
CPSAL ,HSLA - Harlem,JV - Boys,10/21/23,Saturday,3:00 PM,HSLA-Harlem,AECI,HSLA-Harlem,Win (30-27),8 - 0,No,
CPSAL,HSLA - Manhattan,JV - Boys,10/21/2023,Saturday,2:00 PM,HSLA-Manhattan,AECI 2,HSLA-Manhattan,Loss (25-22),2 - 6,No,
CPSAL ,HSLA - Manhattan,JV - Girls,10/25/2023,Wednesday,5:30 PM,Uncommon Charter,Uncommon Charter,HSLA-Manhattan,Win (20-13),4 - 1,No,
CPSAL ,HSLA - Harlem,JV - Boys,10/27/23,Friday,6:00 PM,HSLA-Harlem,HSLA-Harlem,HSLA-Manhattan,Win (28-26),9 - 0,No,
CPSAL,HSLA - Manhattan,JV - Boys,10/27/2023,Friday,6:00 PM,HSLA-Harlem,HSLA-Harlem,HSLA-Manhattan,Loss (28-26),2 - 7,No,
CPSAL ,HSLA - Harlem,JV - Girls,10/28/23,Saturday,3:00 PM,HSLA-Harlem,HSLA-Harlem,Bronx Prep,Win (Forfeit),1 - 5,No,
CPSAL ,HSLA - Harlem,JV - Boys,10/28/23,Saturday,4:00 PM,HSLA-Harlem,HSLA-Harlem,Bronx Prep,Win (46-33),10 - 0,No,
CPSAL ,HSLA - Manhattan,JV - Girls,10/28/2023,Saturday,1:00 PM,HSLA-Manhattan,HSLA-Manhattan,Democracy Prep,Win (28-23),5 - 1,No,
CPSAL,HSLA - Manhattan,JV - Boys,10/28/2023,Saturday,2:00 PM,HSLA-Manhattan,HSLA-Manhattan,Democracy Prep,Win (30-24),3 - 7,No,
CPSAL ,HSLA - Manhattan,JV - Girls,10/30/2023,Monday,5:30 PM,Uncommon Charter,HSLA-Manhattan,Uncommon Collegiate,Loss (30-9),5 - 2,No,
CPSAL ,HSLA - Harlem,JV - Boys,11/02/23,Thursday,5:00 PM,East Harlem Scholars,East Harlem Scholars,HSLA-Harlem,Win (47-25),11 - 0,No,
CPSAL ,HSLA - Harlem,JV - Boys,11/03/23,Friday,5:00 PM,HSLA-Harlem,HSLA-Harlem,AECI 2,Win (71-6),12 - 0,No,
CPSAL ,HSLA - Harlem,JV - Girls,11/03/23,Friday,6:00 PM,HSLA-Harlem,HSLA-Harlem,HSLA-Brooklyn,Win (41-2),2 - 5,No,
CPSAL,HSLA - Manhattan,JV - Boys,11/04/2023,Saturday,2:00 PM,HSLA-Manhattan,HSLA-Manhattan,AECI,Win (36-32),4 - 7,No,
CPSAL ,HSLA - Harlem,JV - Girls,11/06/23,Monday,4:30 PM,Uncommon Charter,HSLA-Harlem,Uncommon Charter,Loss (18-11),2 - 6,No,
CPSAL,HSLA - Manhattan,JV - Boys,11/06/2023,Monday,5:00 PM,East Harlem Scholars,East Harlem Scholars,HSLA-Manhattan,Loss (38-31),4 - 8,No,
CPSAL ,HSLA - Harlem,JV - Girls,11/07/23,Tuesday ,4:30 PM,Uncommon Charter,Uncommon Collegiate,HSLA-Harlem,Loss (25-6),2 - 7,No,
CPSAL ,HSLA - Harlem,JV - Boys,11/08/23,Wednesday,6:00 PM,Dream Charter HS,DREAM,HSLA-Harlem,Win (31-16),13 - 0,No,
