,League,School/Network,Age,Date,Day,Time,Venue,Home Team,Visiting Team,Result,Record,Needs Bus,Notes,Girls Score,Opposition Score,Game Result,Opponent
1,CSAA,HSLA (Joint),Varsity - Girls,2023-09-27,Wednesday,5:15 PM,Wagner Playground,Success Academy (Joint),Queens Academy,L 2-1,0-1,No,No nets,1,2,L,Queens Academy
4,CSAA,HSLA (Joint),Varsity - Girls,2023-10-02,Monday,4:00 PM,Eugene McCabe Field,Success Academy (Joint),New Visions,W 11-1,1-1,No,Nets provided,11,1,W,New Visions
7,CSAA,HSLA (Joint),Varsity - Girls,2023-10-06,Friday,4:00 PM,Eugene McCabe Field,Success Academy (Joint),BASIS Manhattan,W 13-1,2-1,No,Nets provided,13,1,W,BASIS Manhattan
10,CSAA,HSLA (Joint),Varsity - Girls,2023-10-12,Thursday ,5:00 PM,Wagner Playground,Success Academy (Joint),Brooklyn Prospect,L 8-4,2-2,No,,4,8,L,Brooklyn Prospect
13,CSAA,HSLA (Joint),Varsity - Girls,2023-10-13,Friday,5:00 PM,Eugene McCabe Field,Success Academy (Joint),Cristo Rey NY,L 6-3,2-3,No,,3,6,L,Cristo Rey NY
16,CSAA,HSLA (Joint),Varsity - Girls,2023-10-19,Thursday,4:00 PM,Wagner Playground,American Dream,Success Academy (Joint),W 8-2,3-3,No,,8,2,W,American Dream
19,CSAA,HSLA (Joint),Varsity - Girls,2023-10-20,Friday,4:00 PM,Eugene McCabe Field,MESA,Success Academy (Joint),L 6-4,3-4,No,,4,6,L,MESA
23,CSAA,HSLA (Joint),Varsity - Girls,2023-10-25,Wednesday,4:00 PM,Booker T. Washington Playground,Cristo Rey NY,Success Academy (Joint),W 3-2,4-4,No,,3,2,W,Cristo Rey NY
27,CSAA,HSLA (Joint),Varsity - Girls,2023-11-01,Wednesday,4:00 PM,Wagner Playground,New Visions,Success Academy (Joint),W 3-0 (FFT),5-4,No,,3,0,W,New Visions
28,CSAA,HSLA (Joint),Varsity - Girls,2023-11-02,Thursday,4:00 PM,Highland Park Soccer Fields,MESA,Success Academy (Joint),L 1-0,5-5,No,,0,1,L,MESA
30,CSAA,HSLA (Joint),Varsity - Girls,2023-11-06,Monday,4:00 PM,Hamilton Metz Field,Brooklyn Prospect,Success Academy (Joint),L 3-0 (FFT),5-6,No,,0,3,L,Brooklyn Prospect
33,CSAA,HSLA (Joint),Varsity - Girls,2023-11-08,Wednesday,4:00 PM,Wagner Playground,Success Academy (Joint),Queens Academy,L 5-2,5-7,No,,2,5,L,Queens Academy
34,CSAA - QF's,HSLA (Joint),Varsity - Girls,2023-11-13,Monday,4:00 PM,Booker T. Washington Playground,Success Academy (Joint),Queens Academy,L 2-1,5-8,No,,1,2,L,Queens Academy
