,League,School/Network,Age,Date,Day,Time,Venue,Home Team,Visiting Team,Result,Record,Needs Bus,Notes,Manhattan Score,Opposition Score,Game Result,Opponent
0,Scrimmage,HSLA-Manhattan ,Varsity - Boys,2023-09-24,Sunday,2:30 PM,Pier 42,Essex Street Academy,Success Academy Manhattan,W 6-4,,No,,6,4,W,Essex Street Academy
3,CSAA,HSLA-Manhattan ,Varsity - Boys,2023-09-28,Thursday ,5:00 PM,Jacob Schiff,American Dream,Success Academy Manhattan,W 3-2,1-0,No,No nets,3,2,W,American Dream
6,CSAA,HSLA-Manhattan ,Varsity - Boys,2023-10-03,Tuesday,5:00 PM,Jacob Schiff,Success Academy Manhattan,Saint Demetrios,W 8-0,2-0,No,Nets provided,8,0,W,Saint Demetrios
9,CSAA,HSLA-Manhattan ,Varsity - Boys,2023-10-12,Thursday ,5:00 PM,Central Park North Meadow #6,Success Academy Manhattan,Legacy ,W 3-1,3-0,No,Nets provided,3,1,W,Legacy 
11,CSAA,HSLA-Manhattan ,Varsity - Boys,2023-10-13,Friday,4:00 PM,Central Park North Meadow #5,Success Academy Manhattan,BASIS Manhattan,W 3-0 (FFT),4-0,No,Nets provided,3,0,W,BASIS Manhattan
15,CSAA,HSLA-Harlem/Manhattan ,Varsity - Boys,2023-10-17,Tuesday,5:00 PM,Jacob Schiff,Success Academy Harlem,Success Academy Manhattan,T 2-2,4-1-0,No,,2,2,T,Success Academy Harlem
17,CSAA,HSLA-Manhattan ,Varsity - Boys,2023-10-19,Thursday ,4:00 PM,Starlight Park,New Visions,Success Academy Manhattan,L 4-3,4-1-1,No,,3,4,L,New Visions
21,CSAA,HSLA-Manhattan ,Varsity - Boys,2023-10-23,Monday,5:00 PM,Thomas Jefferson Park,Cristo Rey NY,Success Academy Manhattan,L 3-1,4-1-2,No,,1,3,L,Cristo Rey NY
22,CSAA,HSLA-Manhattan ,Varsity - Boys,2023-10-24,Tuesday,4:00 PM,Macombs Dam Park,New Heights,Success Academy Manhattan,W 3-0 (FFT),5-1-2,No,,3,0,W,New Heights
25,CSAA,HSLA-Manhattan ,Varsity - Boys,2023-10-30,Monday,5:00 PM,Thomas Jefferson Park,Success Academy Manhattan,Health & Science,W 8-0,6-1-2,No,,8,0,W,Health & Science
31,CSAA,HSLA-Manhattan ,Varsity - Boys,2023-11-06,Monday,4:00 PM,Thomas Jefferson Park,Success Academy Manhattan,KIPP NYC,W 1-0,7-1-2,No,,1,0,W,KIPP NYC
36,CSAA - QF's,HSLA-Manhattan ,Varsity - Boys,2023-11-13,Monday,5:00 PM,Harlem River Park,Success Academy Manhattan,Legacy ,W 2-0,8-1-2,No,,2,0,W,Legacy 
38,CSAA - SF's,HSLA-Manhattan ,Varsity - Boys,2023-11-15,Wednesday,5:00 PM,Harlem River Park,Success Academy Manhattan,New Visions,L 0-1,8-1-3,No,,0,1,L,New Visions
